med_combined_obsid|med_combined_obsdate|med_combined_planid|med_combined_spid|med_combined_fiberid|med_combined_band|med_combined_ra|med_combined_dec|med_combined_rv_b0|med_combined_rv_b1|med_combined_rv_r0|med_combined_rv_br0
736607093|2019-03-17|NT124055N270820M01|7|93|R|192.1151200000|25.6273240000|2.76|1.21|-2.16|1.39
736604081|2019-03-17|NT124055N270820M01|4|81|B|190.7601400000|26.7734180000|-4.54|-4.62|0.23|-4.30
736608209|2019-03-17|NT124055N270820M01|8|209|B|190.9722900000|25.8464720000|-36.27|-37.00|-38.36|-36.80
736615140|2019-03-17|NT124055N270820M01|15|140|B|190.1455900000|28.1505990000|10.46|10.62|10.49|10.54
736613045|2019-03-17|NT124055N270820M01|13|45|B|192.6541300000|27.6592390000|11.61|10.88|15.46|11.23
736604240|2019-03-17|NT124055N270820M01|4|240|R|190.7347200000|27.1928750000|67.32|67.24|63.70|65.76
736615121|2019-03-17|NT124055N270820M01|15|121|R|190.3636200000|28.0291600000|14.30|14.46|18.35|14.27
736607063|2019-03-17|NT124055N270820M01|7|63|B|191.6991400000|25.6010450000|-40.94|-42.49|-46.87|-40.43
736604239|2019-03-17|NT124055N270820M01|4|239|R|190.6541400000|27.0902400000|-42.32|-42.40|-36.44|-42.00
736607107|2019-03-17|NT124055N270820M01|7|107|B|191.3509600000|25.7779700000|9.03|7.48|6.30|8.27
736613238|2019-03-17|NT124055N270820M01|13|238|B|191.8095100000|27.7380460000|-53.84|-54.57|-52.47|-53.62
736606180|2019-03-17|NT124055N270820M01|6|180|R|192.2498200000|26.5964610000|-63.79|-64.16|-65.70|-63.93
736608100|2019-03-17|NT124055N270820M01|8|100|B|191.7191500000|26.9704860000|-16.06|-16.79|-19.35|-16.50
736607181|2019-03-17|NT124055N270820M01|7|181|B|192.2314900000|26.0168960000|-37.08|-38.63|-38.56|-37.20
736607063|2019-03-17|NT124055N270820M01|7|63|R|191.6991400000|25.6010450000|-39.55|-41.10|-39.41|-39.50
736615140|2019-03-17|NT124055N270820M01|15|140|B|190.1455900000|28.1505990000|10.71|10.87|15.43|10.71
736613045|2019-03-17|NT124055N270820M01|13|45|B|192.6541300000|27.6592390000|11.52|10.79|12.44|11.80
736608032|2019-03-17|NT124055N270820M01|8|32|B|191.1087800000|27.2098090000|-35.02|-35.75|-36.41|-35.35
736609028|2019-03-17|NT124055N270820M01|9|28|R|191.2363600000|28.1258330000|-9999.00|-9999.00|25.71|-9999.00
736606080|2019-03-17|NT124055N270820M01|6|80|R|192.0494200000|26.8341890000|-21.36|-21.73|-21.77|-21.40
736606072|2019-03-17|NT124055N270820M01|6|72|R|192.7523200000|27.2728430000|2.85|2.48|-3.96|2.11
736612023|2019-03-17|NT124055N270820M01|12|23|B|191.7061200000|28.5915770000|-7.65|-7.90|-5.63|-7.35
736609064|2019-03-17|NT124055N270820M01|9|64|R|190.9265300000|28.2122860000|-9999.00|-9999.00|-10.49|-9999.00
736611216|2019-03-17|NT124055N270820M01|11|216|B|190.1437500000|29.5497150000|-18.83|-19.35|-20.54|-19.14
736612050|2019-03-17|NT124055N270820M01|12|50|R|191.4868200000|29.3335950000|-15.63|-15.88|-17.65|-17.51
736609058|2019-03-17|NT124055N270820M01|9|58|R|191.1357900000|28.2589260000|-9999.00|-9999.00|34.57|-9999.00
736609056|2019-03-17|NT124055N270820M01|9|56|R|191.2249000000|28.2496600000|-9999.00|-9999.00|-16.88|-9999.00
736615140|2019-03-17|NT124055N270820M01|15|140|R|190.1455900000|28.1505990000|12.10|12.26|8.11|8.90
736606050|2019-03-17|NT124055N270820M01|6|50|B|192.0940400000|27.0098630000|17.00|16.63|18.66|16.83
736607156|2019-03-17|NT124055N270820M01|7|156|R|191.3474400000|25.0561280000|-29.60|-31.15|-31.40|-30.13
736607094|2019-03-17|NT124055N270820M01|7|94|B|192.4593900000|25.7361280000|-23.13|-24.68|-28.59|-23.42
736605025|2019-03-17|NT124055N270820M01|5|25|B|190.6583200000|25.8402310000|-41.88|-41.22|-43.52|-42.69
736605021|2019-03-17|NT124055N270820M01|5|21|R|190.4334700000|25.8840110000|3.73|4.39|2.87|3.18
736607025|2019-03-17|NT124055N270820M01|7|25|R|191.4478200000|25.4407180000|6.01|4.46|4.29|6.29
736606141|2019-03-17|NT124055N270820M01|6|141|R|192.5977300000|26.8728560000|-14.49|-14.86|-17.85|-15.90
736608015|2019-03-17|NT124055N270820M01|8|15|R|191.2796100000|26.4524240000|-4.61|-5.34|-12.69|-10.68
736604054|2019-03-17|NT124055N270820M01|4|54|R|190.6261600000|27.4449130000|83.72|83.64|84.95|84.00
736612012|2019-03-17|NT124055N270820M01|12|12|R|191.7056200000|28.7802280000|50.46|50.21|51.27|51.97
736612115|2019-03-17|NT124055N270820M01|12|115|R|192.0260200000|28.9067730000|-46.82|-47.07|-45.23|-46.90
736606179|2019-03-17|NT124055N270820M01|6|179|R|192.2938300000|26.5254050000|-85.54|-85.91|-86.25|-85.20
736605083|2019-03-17|NT124055N270820M01|5|83|R|190.0053200000|25.8960750000|-48.75|-48.09|-45.63|-46.20
736604219|2019-03-17|NT124055N270820M01|4|219|R|190.2280700000|27.6473470000|-9999.00|-9999.00|-12.22|-9999.00
736608039|2019-03-17|NT124055N270820M01|8|39|R|191.0677000000|27.0913810000|-3.20|-3.93|-9.52|-8.98
736613006|2019-03-17|NT124055N270820M01|13|6|R|192.7599000000|27.8383980000|29.33|28.60|26.86|28.40
736613092|2019-03-17|NT124055N270820M01|13|92|B|192.2525600000|27.2734860000|27.72|26.99|29.44|28.12
736608026|2019-03-17|NT124055N270820M01|8|26|B|191.2193400000|27.0937610000|5.92|5.19|5.04|5.59
736613095|2019-03-17|NT124055N270820M01|13|95|R|192.4425300000|27.2548340000|-17.65|-18.38|-18.08|-17.49
736615193|2019-03-17|NT124055N270820M01|15|193|R|190.0939900000|27.8586730000|-8.92|-8.76|-5.52|-8.30
736615185|2019-03-17|NT124055N270820M01|15|185|R|190.0736200000|27.7764020000|-2.88|-2.72|-3.11|-2.99
736607247|2019-03-17|NT124055N270820M01|7|247|B|191.7269800000|25.2992290000|-14.00|-15.55|-14.65|-14.46
736607117|2019-03-17|NT124055N270820M01|7|117|R|191.5647800000|25.8202350000|-5.38|-6.93|-7.32|-5.77
736613191|2019-03-17|NT124055N270820M01|13|191|B|192.5981000000|28.1196840000|-4.58|-5.31|-8.87|-6.19
736606141|2019-03-17|NT124055N270820M01|6|141|B|192.5977300000|26.8728560000|-14.49|-14.86|-17.85|-15.90
736606229|2019-03-17|NT124055N270820M01|6|229|R|191.6537000000|26.3662880000|-49.42|-49.79|-43.83|-49.16
736607094|2019-03-17|NT124055N270820M01|7|94|R|192.4593900000|25.7361280000|-23.13|-24.68|-28.59|-23.42
736607093|2019-03-17|NT124055N270820M01|7|93|R|192.1151200000|25.6273240000|2.03|0.48|-2.82|1.23
736615035|2019-03-17|NT124055N270820M01|15|35|R|190.3028200000|28.5993690000|-8.99|-8.83|-9.64|-8.36
736609199|2019-03-17|NT124055N270820M01|9|199|R|191.2923300000|28.1240310000|-9999.00|-9999.00|5.90|-9999.00
736608124|2019-03-17|NT124055N270820M01|8|124|B|191.4024300000|26.2568260000|-32.55|-33.28|-37.94|-32.68
736604049|2019-03-17|NT124055N270820M01|4|49|R|190.0130700000|27.4988680000|-32.99|-33.07|-37.24|-33.03
736606074|2019-03-17|NT124055N270820M01|6|74|R|193.0347600000|27.2658470000|-34.56|-34.93|-41.44|-34.88
736607046|2019-03-17|NT124055N270820M01|7|46|B|191.1132300000|25.5597960000|23.97|22.42|22.60|23.00
736609141|2019-03-17|NT124055N270820M01|9|141|R|191.4217000000|27.6576240000|-9999.00|-9999.00|-11.99|-9999.00
736609134|2019-03-17|NT124055N270820M01|9|134|R|191.5459000000|27.5290010000|-9999.00|-9999.00|-2.08|-9999.00
736601146|2019-03-17|NT124055N270820M01|1|146|R|190.7142600000|25.4893820000|-61.64|-62.08|-61.45|-61.91
736607089|2019-03-17|NT124055N270820M01|7|89|R|192.1700500000|25.5940140000|12.95|11.40|10.97|12.28
736608161|2019-03-17|NT124055N270820M01|8|161|B|191.0030100000|26.3076930000|-26.90|-27.63|-23.80|-26.32
736606147|2019-03-17|NT124055N270820M01|6|147|R|192.6914600000|26.8216650000|-42.77|-43.14|-43.77|-43.01
736606155|2019-03-17|NT124055N270820M01|6|155|R|192.6485300000|26.6044940000|-19.79|-20.16|-22.41|-20.81
736615193|2019-03-17|NT124055N270820M01|15|193|R|190.0939900000|27.8586730000|-8.48|-8.32|-8.90|-8.54
736613006|2019-03-17|NT124055N270820M01|13|6|R|192.7599000000|27.8383980000|31.18|30.45|29.87|30.61
736607247|2019-03-17|NT124055N270820M01|7|247|B|191.7269800000|25.2992290000|-15.39|-16.94|-18.82|-15.76
736613046|2019-03-17|NT124055N270820M01|13|46|R|192.9129600000|27.6337030000|-49.26|-49.99|-52.22|-49.45
736613160|2019-03-17|NT124055N270820M01|13|160|R|191.7150100000|28.1017740000|-2.81|-3.54|0.18|-2.76
736612050|2019-03-17|NT124055N270820M01|12|50|R|191.4868200000|29.3335950000|-17.20|-17.45|-17.90|-17.43
736604081|2019-03-17|NT124055N270820M01|4|81|R|190.7601400000|26.7734180000|-4.54|-4.62|0.23|-4.30
736613160|2019-03-17|NT124055N270820M01|13|160|R|191.7150100000|28.1017740000|-3.57|-4.30|-8.48|-3.83
736607089|2019-03-17|NT124055N270820M01|7|89|B|192.1700500000|25.5940140000|12.95|11.40|10.97|12.28
736606155|2019-03-17|NT124055N270820M01|6|155|R|192.6485300000|26.6044940000|-21.98|-22.35|-23.50|-21.84
736612207|2019-03-17|NT124055N270820M01|12|207|R|192.1091000000|28.4394010000|31.01|30.76|31.01|30.66
736615137|2019-03-17|NT124055N270820M01|15|137|R|190.2751300000|28.3720910000|-32.92|-32.76|-31.74|-32.78
736607156|2019-03-17|NT124055N270820M01|7|156|R|191.3474400000|25.0561280000|-28.84|-30.39|-33.07|-29.72
736606180|2019-03-17|NT124055N270820M01|6|180|R|192.2498200000|26.5964610000|-63.57|-63.94|-63.76|-63.33
736608161|2019-03-17|NT124055N270820M01|8|161|R|191.0030100000|26.3076930000|-27.87|-28.60|-27.84|-27.75
736605025|2019-03-17|NT124055N270820M01|5|25|B|190.6583200000|25.8402310000|-41.50|-40.84|-42.55|-41.82
736605048|2019-03-17|NT124055N270820M01|5|48|B|190.0503000000|26.0354850000|31.95|32.61|35.11|34.12
736612076|2019-03-17|NT124055N270820M01|12|76|R|191.3728700000|28.6069630000|66.32|66.07|65.06|66.45
736605140|2019-03-17|NT124055N270820M01|5|140|R|190.3489700000|26.0478960000|-26.12|-25.46|-28.97|-28.36
736615145|2019-03-17|NT124055N270820M01|15|145|R|190.2109300000|28.1856590000|-3.20|-3.04|-10.13|-6.84
736608158|2019-03-17|NT124055N270820M01|8|158|R|190.6832100000|26.2978140000|-4.22|-4.95|-5.21|-4.57
736612082|2019-03-17|NT124055N270820M01|12|82|R|191.3970300000|28.7419610000|-42.33|-42.58|-43.19|-41.92
736606042|2019-03-17|NT124055N270820M01|6|42|R|192.2377400000|27.1940190000|-16.71|-17.08|-15.78|-17.47
736608206|2019-03-17|NT124055N270820M01|8|206|R|190.9846800000|25.6860040000|4.64|3.91|2.71|7.02
736608026|2019-03-17|NT124055N270820M01|8|26|R|191.2193400000|27.0937610000|6.47|5.74|4.97|6.16
736613006|2019-03-17|NT124055N270820M01|13|6|B|192.7599000000|27.8383980000|31.18|30.45|29.87|30.61
736613242|2019-03-17|NT124055N270820M01|13|242|R|191.6618100000|27.8071050000|-10.02|-10.75|-6.36|-8.04
736604007|2019-03-17|NT124055N270820M01|4|7|R|190.0616800000|26.9506300000|-13.73|-13.81|-12.97|-13.80
736613238|2019-03-17|NT124055N270820M01|13|238|B|191.8095100000|27.7380460000|-53.94|-54.67|-54.36|-54.05
